Dept,SKU      ,SKU Desc                                ,UPC           , SOH         , Max Stock   , In-Transit  , On Order    ,Stat, Unit Cost   , Unit Retail , SupplierNo, Supplier Name                     , Inner, Buy Cost    ,SupPackSiz ,  LuxTax,  QtySales   ,   CustReturn,   TotalSales        ,   TotalCost         ,   On Order TSF       ,  Promo Start,  Promo End  ,  Promo Retail,  Order Loc, SuppRepl  , SuppRepl Name                     ,  Repl Cost  ,  WhRepl  ,  ReplMthd, OrdDay ,CycleOrd    , IMU                 , QtyAllocated, QtyReceived, Ret Allow Ind,UDA Cluster                ,Item Bazar Status   ,Comment Desc                              ,Max Ord Reg        ,        Av Cost     ,  Multipack     ,Store,Block MD  , Reason                   , Final Matrix
97,97415140,SUMBER SELERA BAKSO SB PREMIUM 25 Pcs   ,8997009748700,10,             ,             ,             ,A,29150,48990,39047," SUMBER PRIMA ANUGRAH ABADI, PT.   ",20,36400,20,        ,3,0,146970,109200,                      ,             ,             ,              ,1,300045558,"   SEJAHTERA PRIMA BOGA NIAGA, PT  ",36400,          ,  PDET    ,     ALL,1,0.18,             ,            , N            , ADD ON - HYPERMART        ,  UNLOCK            ,                                          ,                   ,36400,         N      ,449,       N  ,                          , CZ
97,97237495,DG GILING REGULAR                       ,              ,0,             ,             ,             ,C,80000,1000000,41513," CAUSA PRIMA ASHAR,PT              ",1,1,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,1,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,121052,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97411715,AROMA DENDENG BAKAR BABI PEDAS 300 GR   ,8994036523409,0,             ,             ,             ,C,50900,87950,2016866," PURI PANGAN UTAMA, PT - BLI - 20  ",5,85276,5,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,1,39356,"   HARSI PANGAN UTAMA,PT - SBY     ",60000,          ,  PDET    ,     ALL,1,-0.07,             ,            , N            , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,50900,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97213626,AUST.SUKIYAKI                           ,4348,0,             ,             ,             ,C,354835,289000,10205," INDOGUNA UTAMA, PT                ",1,354835,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,-0.35,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,354835,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97214974,PORK SPARERIB CUT BAIKUT KG  M          ,              ,0,             ,             ,             ,C,158000,166500,100044348," TEKNO ADVAN ABADI, PT-JBTK        ",1,175000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,-0.16,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,158000,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97312206,IKAN KEMBUNG 1KG                        ,2100973122063,0,             ,             ,             ,C,64000,67500,45344, ANDRE JEFFERSON                   ,10,25000,10,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,0.59,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,64000,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97447517,BERNARDI SMOKED BEEF 250 GR             ,              ,0,             ,             ,             ,C,41400,44500,4829,69912692,12,38650,12,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,1,6001012655,"   ELODA MITRA, PT - SBY - 600101  ",38650,          ,  PDET    ,     ALL,1,0.04,             ,            , Y            , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,38650,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97418914,KANZLER SINGLES SOSIS GOCHUJANG 60GR    ,8993200668243,557,             ,             ,720,A,6336,8790,200034716," MACROSENTRA NIAGABOGA, PT.        ",120,             ,120,        ,378,0,2626530,2395008,                      ,             ,             ,              ,1,100034756,"   MACROSENTRA NIAGABOGA, PT-SBY   ",6336,          ,  PDET    ,     ALL,1,0.21,             ,            , Y            , CORE - HYPERMART          ,  UNLOCK            ,                                          ,                   ,6336,         N      ,449,       N  ,                          , AZ
97,97220065,PAKET PROMO RENDANG SPECIAL L           ,              ,0,             ,             ,             ,A,             ,159900,           ,                                   ,      ,             ,           ,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,                     ,             ,            ,              , ADD ON - HYPERMART        ,  NEW ITEM          ,                                          ,                   ,                    ,         N      ,449,       N  ,                          , NP
97,97302360,IKAN GABUS KG                           ,5202,0,             ,             ,             ,C,12000,1000000,16895, SUTRISNO / MUSLIM                 ,1,65000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,0.93,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,12000,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97311734,IKAN GORENG KG                          ,3186,0,             ,             ,             ,A,63000,66500,42990, KASIM.                            ,1,63000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,-0.04,             ,            ,              , ADD ON - HYPERMART        ,  UNLOCK            ,                                          ,                   ,63000,         N      ,449,       N  ,                          , NS
97,97302977,IKAN CAKALANG FUFU WHOLE KG             ,2940,0,             ,             ,             ,A,27500,39900,19386, MERRY WALELENG                    ,1,35000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,0.04,             ,            ,              , ADD ON - HYPERMART        ,  UNLOCK            ,                                          ,                   ,27500,         N      ,449,       Y  , SUPPLY PROBLEM           , NS
97,97216178,MELTIQUE SIRLOIN STEAK KG               ,7157,0,             ,             ,             ,A,250000,263000,6168," PRIMA JAYA, CV                    ",5,270000,5,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,-0.13,             ,            ,              , ADD ON - HYPERMART        ,  UNLOCK            ,                                          ,                   ,250000,         N      ,449,       Y  , SUPPLIER STOP BUSINESS   , NS
97,97311985, JS TERI MEDAN / JEPANG 200gr           ,8997207636434,0,             ,             ,             ,A,37000,45500,100042253, JOHAN TASMAN.                     ,30,37000,30,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,0,           ,                                   ,             ,110,  PDET    ,     ALL,1,0.11,             ,            ,              , CORE - HYPERMART          ,  UNLOCK            ,                                          ,                   ,37000,         N      ,449,       N  ,                          , NS
97,97212761,AYAM PAHA BAWAH  KUNING kg              ,1880,0,             ,             ,             ,A,41500,50500,10026," SIERAD PRODUCE, PT                ",1,1,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,1,             ,            ,              , CORE - HYPERMART          ,  UNLOCK            ,                                          ,                   ,48200,         N      ,449,       N  ,                          , CZ
97,97306580,SASHIMI SALMON KG                       ,              ,0,             ,             ,             ,C,125000,1000000,17934, INDOMARU LESTARI PT               ,10,125000,10,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,0.86,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,125000,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97215026,SAMGUIPSAL/P.BELLY S.OFF CUT 5 CM M     ,              ,0,             ,             ,             ,C,149000,157000,100044348," TEKNO ADVAN ABADI, PT-JBTK        ",1,165000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,-0.16,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,149000,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97345038,DAGING KEPITING KG                      ,              ,0,             ,             ,             ,C,33000,1000000,33761," AQUACULTURINDO CITRAPRATAMA, PT   ",1,71000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,0.92,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,71000,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97212743,AYAM KEPALA KUNING  kg                  ,2712,0,             ,             ,             ,A,20000,26500,10026," SIERAD PRODUCE, PT                ",1,1,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,1,             ,            ,              , ADD ON - HYPERMART        ,  UNLOCK            ,                                          ,                   ,25000,         N      ,449,       N  ,                          , NS
97,97448169,KUSNO BAKSO SAPI KECIL 1000 GR          ,3411,0,             ,             ,             ,C,94900,500000,44697," BASO KUSNO SAPUTRO,PT             ",5,94900,5,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,0.79,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,94900,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97312162,IKAN BABY NILA 240g                     ,8997016720027,14,             ,             ,             ,A,21000,31900,400038845," HJ. BUDI NURYATI, SPD-BDG         ",25,25000,25,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,0,           ,                                   ,             ,110,  PDET    ,     ALL,1,0.14,             ,            ,              , CORE - HYPERMART          ,  UNLOCK            ,                                          ,                   ,25000,         N      ,449,       N  ,                          , CZ
97,97219826,BEEF SHABU SHABU 300 GR                 ,2100972198267,0,             ,             ,             ,A,100000,137900,10205," INDOGUNA UTAMA, PT                ",10,             ,10,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,0.2,             ,            ,              , ADD ON - HYPERMART        ,  NEW ITEM          ,                                          ,                   ,100000,         N      ,449,       N  ,                          , NP
97,97312448,IKAN FRESH BANDENG SUPER KG             ,2007,0,             ,             ,             ,A,52000,54500,42990, KASIM.                            ,5,57000,5,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,-0.15,             ,            ,              , CORE - HYPERMART          ,  UNLOCK            ,                                          ,                   ,52000,         N      ,449,       N  ,                          , NS
97,97219979,RENDANG PROMO JATIM                     ,4896,0,             ,             ,             ,A,103500,129900,47148," LEMBU KENCANA LESTARIJAYA,PT-SBY  ",1,             ,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,0.12,             ,            ,              , ADD ON - HYPERMART        ,  NEW ITEM          ,                                          ,                   ,103500,         N      ,449,       N  ,                          , NP
97,97211093,B - WAGYU SHABU-SHABU                   ,              ,0,             ,             ,             ,C,250000,263000,42657," SANTOSA AGRINDO, PT               ",1,280000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,-0.17,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,250000,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97312528,IKAN FRESH SALAM KG                     ,7110,0,             ,             ,             ,A,29000,30500,42990, KASIM.                            ,5,29000,5,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,-0.05,             ,            ,              , CORE - HYPERMART          ,  UNLOCK            ,                                          ,                   ,29000,         N      ,449,       Y  , SUPPLY PROBLEM           , NS
97,97312537,IKAN FRESH BANDENG KG                   ,8552,0,             ,             ,             ,A,28000,29500,42990, KASIM.                            ,5,46000,5,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,-0.72,             ,            ,              , CORE - HYPERMART          ,  UNLOCK            ,                                          ,                   ,28000,         N      ,449,       N  ,                          , NS
97,97340051,KERANG NENEK HIDUP KG                   ,2461,0,             ,             ,             ,A,4500,38100,7340, SETIA KAWAN                       ,1,38000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,1,43765,   HARIYANTO - JMR                 ,35000,          ,  PDET    ,     ALL,1,-0.1,             ,            , N            , ADD ON - HYPERMART        ,  UNLOCK            ,                                          ,                   ,4500,         N      ,449,       Y  , SUPPLY PROBLEM           , NS
97,97340079,IKAN FRESH LELE HIDUP KG                ,2972,0,             ,             ,             ,A,25000,35900,200033814, DJODI  GUNAWAN.                   ,1,39500,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,1,43765,   HARIYANTO - JMR                 ,24000,          ,  PDET    ,     ALL,1,-0.21,             ,            , N            , ADD ON - HYPERMART        ,  UNLOCK            ,                                          ,                   ,27000,         N      ,449,       N  ,                          , NS
97,97236503,PEKING DUCK KG                          ,2728,39.4956,             ,             ,             ,A,45500,69900,600031181," LARIS MANIS UTAMA, PT.-           ",1,50000,1,        ,12.302,0,933720,741010.97,                      ,             ,             ,              ,1,6100040175,"   AGRO BOGA UTAMA,PT-SBY          ",58500,110,  PDET    ,     ALL,1,0.21,             ,            ,              , ADD ON - HYPERMART        ,  UNLOCK            ,                                          ,                   ,48416.7846,         N      ,449,       N  ,                          , BZ
97,97242023,PARU REBUS kg                           ,2102,0,             ,             ,             ,A,55000,99900,17765, INDOPANGAN SARANA PRIMA PT-PTK    ,10,85000,10,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,0,           ,                                   ,             ,108,  PDET    ,     ALL,1,0.06,             ,            ,              , CORE - HYPERMART          ,  UNLOCK            ,                                          ,                   ,73554.0705,         N      ,449,       N  ,                          , NS
97,97204314,CHOP SIRLOIN KAMBING kg                 ,              ,0,             ,             ,             ,C,155637,95500,42244, KARYANTO WIROSUHARDJO-JBR         ,1,155637,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,1,300031349,"   FEDORATAMA MUKTIJAYA, PT- SBY   ",95000,          ,  PDET    ,     ALL,1,-0.79,             ,            , N            , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,155637,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97302299,IKAN FRESH KAKA TUA KG                  ,              ,0,             ,             ,             ,C,17500,1000000,33761," AQUACULTURINDO CITRAPRATAMA, PT   ",1,40000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,0.96,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,17500,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97415917,FARMHOUSE BAKSO B 50 pcs                ,8998888513328,0,             ,             ,             ,C,62316,120600,34883," SAN MIGUEL FOODS INDONESIA,PT     ",5,80430,5,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,0,           ,                                   ,             ,110,  PDET    ,     ALL,1,0.27,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,80430,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97300273,IKAN NORWAY SALMON  KG                  ,2149,-1.4284,             ,             ,             ,A,161500,362900,400040215," OCEANICA MEGAH UTAMA , PT         ",35,252500,35,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,0,           ,                                   ,             ,110,  PDET    ,     ALL,1,0.23,50,0,              , ADD ON - HYPERMART        ,  UNLOCK            ,                                          ,                   ,189841.9297,         N      ,449,       N  ,                          , BZ
97,97303529,DAGING KERANG FRESH REBUS KG            ,2677,4.73,             ,             ,             ,A,28480,89900,42990, KASIM.                            ,1,55000,1,        ,3.254,0,253770,218952,                      ,             ,             ,              ,0,           ,                                   ,             ,110,  PDET    ,     ALL,1,0.33,             ,            ,              , ADD ON - HYPERMART        ,  UNLOCK            ,                                          ,                   ,55000,         N      ,449,       N  ,                          , BX
97,97458309,BERNARDI SOPINI 500 GR                  ,9912500112118,0,             ,             ,             ,C,50900,63000,4829,69912692,6,45400,6,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,1,6001012655,"   ELODA MITRA, PT - SBY - 600101  ",45400,          ,  PDET    ,     ALL,1,0.21,             ,            , Y            , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,45400,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97402930,IRENE BASO SAPI ISTIMEWA B 25 PCS       ,8997020140057,0,             ,             ,             ,C,33500,51500,38983," SORIN MAHARASA, PT                ",10,36850,10,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,0.21,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,33500,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97309130,CUMI FLOWER 500 Gr                      ,745178208390,6,             ,0,             ,A,35500,69900,45833," MUTIARA, CV                       ",12,56000,12,        ,4,0,249600,224000,12,             ,             ,              ,0,           ,                                   ,             ,110,  PDET    ,     ALL,1,0.12,             ,            ,              , CORE - HYPERMART          ,  UNLOCK            ,                                          ,                   ,55971.6657,         N      ,449,       N  ,                          , CZ
97,97239000,URAT SAPI KG                            ,3008,0,             ,             ,             ,C,85000,105000,10844, SANTOSO SUHERMAN-10844            ,30,156000,30,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,1,6000031349,"   FEDORATAMA MUKTI JAYA, PT-SBY   ",70000,          ,  PDET    ,     ALL,1,-0.63,             ,            , Y            , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,114545.3199,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97306982,STEAMBOAT SET 500 GR                    ,8997014353142,0,             ,             ,             ,C,36000,41490,36354," CITRADIMENSI ARTHALI, PT          ",1,39000,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,1,36354,"   CITRADIMENSI ARTHALI, PT        ",36000,108,  PDET    ,     ALL,1,-0.03,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,39000,         N      ,449,       Y  , NON ASSORTMENT           ,   
97,97310708,KEPALA IKAN TENGGIRI                    ,2740,0,             ,             ,             ,A,1,33300,42990, KASIM.                            ,1,1,1,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,1,             ,            ,              , ADD ON - HYPERMART        ,  UNLOCK            ,                                          ,                   ,1,         N      ,449,       N  ,                          , NS
97,97310066,SALMON TROUT ATLANTIK kg                ,1124,147.705,             ,             ,             ,A,225000,394900,45833," MUTIARA, CV                       ",1,330000,1,        ,14.819,0,5263795,4859646,                      ,             ,             ,              ,0,           ,                                   ,             ,110,  PDET    ,     ALL,1,0.08,             ,            ,              , ADD ON - HYPERMART        ,  UNLOCK            ,                                          ,                   ,314280.8541,         N      ,449,       N  ,                          , BZ
97,97311190,PATIN FILLET FRZ PCS                    ,8774,0,             ,             ,             ,C,26750,28000,45833," MUTIARA, CV                       ",40,17000,40,        ,             ,             ,                     ,                     ,                      ,             ,             ,              ,           ,           ,                                   ,             ,          ,  PUSH    ,        ,            ,0.33,             ,            ,              , NON ASSORTMENT            ,  LOCK              ,  NON ASSORTMENT                          ,                   ,26750,         N      ,449,       Y  , NON ASSORTMENT           ,   
